Cases,Area,Year,Sex
15,Meath,2015,Male
7,Meath,2015,Female
13,Meath,2016,Both sexes
12,Meath,2016,Male
1,Meath,2016,Female
17,Meath,2017,Both sexes
15,Meath,2017,Male
2,Meath,2017,Female
21,Meath,2018,Both sexes
14,Meath,2018,Male
7,Meath,2018,Female
21,Meath,2019,Both sexes
14,Meath,2019,Male
7,Meath,2019,Female
7,Offaly,2013,Both sexes
7,Offaly,2013,Male
0,Offaly,2013,Female
8,Offaly,2014,Both sexes
8,Offaly,2014,Male
0,Offaly,2014,Female
8,Offaly,2015,Both sexes
8,Offaly,2015,Male
0,Offaly,2015,Female
11,Offaly,2016,Both sexes
10,Offaly,2016,Male
1,Offaly,2016,Female
8,Offaly,2017,Both sexes
6,Offaly,2017,Male
2,Offaly,2017,Female
11,Offaly,2018,Both sexes
9,Offaly,2018,Male
2,Offaly,2018,Female
8,Offaly,2019,Both sexes
5,Offaly,2019,Male
3,Offaly,2019,Female
9,Westmeath,2013,Both sexes
9,Westmeath,2013,Male
0,Westmeath,2013,Female
7,Westmeath,2014,Both sexes
7,Westmeath,2014,Male
0,Westmeath,2014,Female
6,Westmeath,2015,Both sexes
4,Westmeath,2015,Male
2,Westmeath,2015,Female
13,Westmeath,2016,Both sexes
10,Westmeath,2016,Male
3,Westmeath,2016,Female
6,Westmeath,2017,Both sexes
5,Westmeath,2017,Male
1,Westmeath,2017,Female
10,Westmeath,2018,Both sexes
8,Westmeath,2018,Male
2,Westmeath,2018,Female
7,Westmeath,2019,Both sexes
5,Westmeath,2019,Male
2,Westmeath,2019,Female
16,Wexford,2013,Both sexes
13,Wexford,2013,Male
3,Wexford,2013,Female
26,Wexford,2014,Both sexes
22,Wexford,2014,Male
4,Wexford,2014,Female
18,Wexford,2015,Both sexes
15,Wexford,2015,Male
3,Wexford,2015,Female
16,Wexford,2016,Both sexes
14,Wexford,2016,Male
2,Wexford,2016,Female
14,Wexford,2017,Both sexes
13,Wexford,2017,Male
1,Wexford,2017,Female
25,Wexford,2018,Both sexes
17,Wexford,2018,Male
8,Wexford,2018,Female
22,Wexford,2019,Both sexes
17,Wexford,2019,Male
5,Wexford,2019,Female
7,Wicklow,2013,Both sexes
6,Wicklow,2013,Male
1,Wicklow,2013,Female
13,Wicklow,2014,Both sexes
11,Wicklow,2014,Male
2,Wicklow,2014,Female
16,Wicklow,2015,Both sexes
13,Wicklow,2015,Male
3,Wicklow,2015,Female
9,Wicklow,2016,Both sexes
7,Wicklow,2016,Male
2,Wicklow,2016,Female
15,Wicklow,2017,Both sexes
13,Wicklow,2017,Male
2,Wicklow,2017,Female
8,Wicklow,2018,Both sexes
4,Wicklow,2018,Male
4,Wicklow,2018,Female
10,Wicklow,2019,Both sexes
8,Wicklow,2019,Male
2,Wicklow,2019,Female
155,Munster,2013,Both sexes
129,Munster,2013,Male
26,Munster,2013,Female
156,Munster,2014,Both sexes
129,Munster,2014,Male
27,Munster,2014,Female
147,Munster,2015,Both sexes
117,Munster,2015,Male
30,Munster,2015,Female
158,Munster,2016,Both sexes
125,Munster,2016,Male
33,Munster,2016,Female
143,Munster,2017,Both sexes
111,Munster,2017,Male
32,Munster,2017,Female
167,Munster,2018,Both sexes
133,Munster,2018,Male
34,Munster,2018,Female
163,Munster,2019,Both sexes
132,Munster,2019,Male
31,Munster,2019,Female
22,Clare,2013,Both sexes
18,Clare,2013,Male
4,Clare,2013,Female
17,Clare,2014,Both sexes
16,Clare,2014,Male
1,Clare,2014,Female
16,Clare,2015,Both sexes
13,Clare,2015,Male
3,Clare,2015,Female
15,Clare,2016,Both sexes
12,Clare,2016,Male
3,Clare,2016,Female
20,Clare,2017,Both sexes
18,Clare,2017,Male
2,Clare,2017,Female
16,Clare,2018,Both sexes
11,Clare,2018,Male
5,Clare,2018,Female
16,Clare,2019,Both sexes
13,Clare,2019,Male
3,Clare,2019,Female
13,Cork City,2013,Both sexes
10,Cork City,2013,Male
3,Cork City,2013,Female
16,Cork City,2014,Both sexes
11,Cork City,2014,Male
5,Cork City,2014,Female
14,Cork City,2015,Both sexes
13,Cork City,2015,Male
1,Cork City,2015,Female
24,Cork City,2016,Both sexes
17,Cork City,2016,Male
7,Cork City,2016,Female
11,Cork City,2017,Both sexes
10,Cork City,2017,Male
1,Cork City,2017,Female
16,Cork City,2018,Both sexes
14,Cork City,2018,Male
2,Cork City,2018,Female
45,Cork City,2019,Both sexes
39,Cork City,2019,Male
6,Cork City,2019,Female
43,Cork County,2013,Both sexes
38,Cork County,2013,Male
5,Cork County,2013,Female
43,Cork County,2014,Both sexes
35,Cork County,2014,Male
8,Cork County,2014,Female
45,Cork County,2015,Both sexes
35,Cork County,2015,Male
10,Cork County,2015,Female
46,Cork County,2016,Both sexes
35,Cork County,2016,Male
11,Cork County,2016,Female
40,Cork County,2017,Both sexes
25,Cork County,2017,Male
15,Cork County,2017,Female
40,Cork County,2018,Both sexes
33,Cork County,2018,Male
7,Cork County,2018,Female
20,Cork County,2019,Both sexes
14,Cork County,2019,Male
6,Cork County,2019,Female
14,Kerry,2013,Both sexes
12,Kerry,2013,Male
2,Kerry,2013,Female
24,Kerry,2014,Both sexes
19,Kerry,2014,Male
5,Kerry,2014,Female
17,Kerry,2015,Both sexes
14,Kerry,2015,Male
3,Kerry,2015,Female
21,Kerry,2016,Both sexes
17,Kerry,2016,Male
4,Kerry,2016,Female
11,Kerry,2017,Both sexes
7,Kerry,2017,Male
4,Kerry,2017,Female
25,Kerry,2018,Both sexes
19,Kerry,2018,Male
6,Kerry,2018,Female
13,Kerry,2019,Both sexes
11,Kerry,2019,Male
2,Kerry,2019,Female
16,Limerick City,2013,Both sexes
12,Limerick City,2013,Male
4,Limerick City,2013,Female
15,Limerick City,2014,Both sexes
11,Limerick City,2014,Male
4,Limerick City,2014,Female
6,Limerick City,2015,Both sexes
3,Limerick City,2015,Male
3,Limerick City,2015,Female
6,Limerick City,2016,Both sexes
5,Limerick City,2016,Male
1,Limerick City,2016,Female
7,Limerick City,2017,Both sexes
6,Limerick City,2017,Male
1,Limerick City,2017,Female
9,Limerick City,2018,Both sexes
8,Limerick City,2018,Male
1,Limerick City,2018,Female
17,Limerick City,2019,Both sexes
13,Limerick City,2019,Male
4,Limerick City,2019,Female
13,Limerick County,2013,Both sexes
9,Limerick County,2013,Male
4,Limerick County,2013,Female
9,Limerick County,2014,Both sexes
7,Limerick County,2014,Male
2,Limerick County,2014,Female
19,Limerick County,2015,Both sexes
14,Limerick County,2015,Male
5,Limerick County,2015,Female
12,Limerick County,2016,Both sexes
9,Limerick County,2016,Male
3,Limerick County,2016,Female
20,Limerick County,2017,Both sexes
16,Limerick County,2017,Male
4,Limerick County,2017,Female
21,Limerick County,2018,Both sexes
17,Limerick County,2018,Male
4,Limerick County,2018,Female
45,Limerick County,2019,Both sexes
39,Limerick County,2019,Male
6,Limerick County,2019,Female
15,North Tipperary,2013,Both sexes
12,North Tipperary,2013,Male
3,North Tipperary,2013,Female
7,North Tipperary,2014,Both sexes
7,North Tipperary,2014,Male
0,North Tipperary,2014,Female
8,North Tipperary,2015,Both sexes
7,North Tipperary,2015,Male
1,North Tipperary,2015,Female
11,North Tipperary,2016,Both sexes
9,North Tipperary,2016,Male
2,North Tipperary,2016,Female
12,North Tipperary,2017,Both sexes
10,North Tipperary,2017,Male
2,North Tipperary,2017,Female
0,North Tipperary,2018,Both sexes
0,North Tipperary,2018,Male
0,North Tipperary,2018,Female
0,North Tipperary,2019,Both sexes
0,North Tipperary,2019,Male
0,North Tipperary,2019,Female
11,South Tipperary,2013,Both sexes
10,South Tipperary,2013,Male
1,South Tipperary,2013,Female
12,South Tipperary,2014,Both sexes
10,South Tipperary,2014,Male
2,South Tipperary,2014,Female
13,South Tipperary,2015,Both sexes
9,South Tipperary,2015,Male
4,South Tipperary,2015,Female
10,South Tipperary,2016,Both sexes
8,South Tipperary,2016,Male
2,South Tipperary,2016,Female
7,South Tipperary,2017,Both sexes
7,South Tipperary,2017,Male
0,South Tipperary,2017,Female
0,South Tipperary,2018,Both sexes
0,South Tipperary,2018,Male
0,South Tipperary,2018,Female
0,South Tipperary,2019,Both sexes
0,South Tipperary,2019,Male
0,South Tipperary,2019,Female
2,Waterford City,2013,Both sexes
2,Waterford City,2013,Male
0,Waterford City,2013,Female
1,Waterford City,2014,Both sexes
1,Waterford City,2014,Male
0,Waterford City,2014,Female
3,Waterford City,2015,Both sexes
3,Waterford City,2015,Male
0,Waterford City,2015,Female
3,Waterford City,2016,Both sexes
3,Waterford City,2016,Male
0,Waterford City,2016,Female
4,Waterford City,2017,Both sexes
3,Waterford City,2017,Male
1,Waterford City,2017,Female
4,Waterford City,2018,Both sexes
3,Waterford City,2018,Male
1,Waterford City,2018,Female
4,Waterford City,2019,Both sexes
4,Waterford City,2019,Male
0,Waterford City,2019,Female
6,Waterford County,2013,Both sexes
6,Waterford County,2013,Male
0,Waterford County,2013,Female
12,Waterford County,2014,Both sexes
12,Waterford County,2014,Male
0,Waterford County,2014,Female
6,Waterford County,2015,Both sexes
6,Waterford County,2015,Male
0,Waterford County,2015,Female
10,Waterford County,2016,Both sexes
10,Waterford County,2016,Male
0,Waterford County,2016,Female
11,Waterford County,2017,Both sexes
9,Waterford County,2017,Male
2,Waterford County,2017,Female
10,Waterford County,2018,Both sexes
9,Waterford County,2018,Male
1,Waterford County,2018,Female
7,Waterford County,2019,Both sexes
6,Waterford County,2019,Male
1,Waterford County,2019,Female
63,Connacht,2013,Both sexes
52,Connacht,2013,Male
11,Connacht,2013,Female
75,Connacht,2014,Both sexes
60,Connacht,2014,Male
15,Connacht,2014,Female
60,Connacht,2015,Both sexes
49,Connacht,2015,Male
11,Connacht,2015,Female
56,Connacht,2016,Both sexes
48,Connacht,2016,Male
8,Connacht,2016,Female
46,Connacht,2017,Both sexes
42,Connacht,2017,Male
4,Connacht,2017,Female
62,Connacht,2018,Both sexes
44,Connacht,2018,Male
18,Connacht,2018,Female
58,Connacht,2019,Both sexes
39,Connacht,2019,Male
19,Connacht,2019,Female
10,Galway City,2013,Both sexes
7,Galway City,2013,Male
3,Galway City,2013,Female
11,Galway City,2014,Both sexes
7,Galway City,2014,Male
4,Galway City,2014,Female
6,Galway City,2015,Both sexes
5,Galway City,2015,Male
1,Galway City,2015,Female
8,Galway City,2016,Both sexes
5,Galway City,2016,Male
3,Galway City,2016,Female
10,Galway City,2017,Both sexes
9,Galway City,2017,Male
1,Galway City,2017,Female
11,Galway City,2018,Both sexes
7,Galway City,2018,Male
4,Galway City,2018,Female
11,Galway City,2019,Both sexes
6,Galway City,2019,Male
5,Galway City,2019,Female
21,Galway County,2013,Both sexes
19,Galway County,2013,Male
2,Galway County,2013,Female
24,Galway County,2014,Both sexes
21,Galway County,2014,Male
3,Galway County,2014,Female
22,Galway County,2015,Both sexes
18,Galway County,2015,Male
4,Galway County,2015,Female
17,Galway County,2016,Both sexes
15,Galway County,2016,Male
2,Galway County,2016,Female
16,Galway County,2017,Both sexes
15,Galway County,2017,Male
1,Galway County,2017,Female
17,Galway County,2018,Both sexes
11,Galway County,2018,Male
6,Galway County,2018,Female
17,Galway County,2019,Both sexes
12,Galway County,2019,Male
5,Galway County,2019,Female
3,Leitrim,2013,Both sexes
3,Leitrim,2013,Male
0,Leitrim,2013,Female
3,Leitrim,2014,Both sexes
3,Leitrim,2014,Male
